carryingcap_is,carryingcap_main,crown_age,init_n_main_cls,init_n_main_sps,ana,clado_is,clado_main,ext_is,ext_main,mig_to_is,rng_seed,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,24,0.0728461,1.12453e-07,4.31885,0.00100135,0.194475,-155.049,5,0,11.6006,0.0318438,1.00211,0.00124149,0.215278,-140.781,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,24,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,0.1232,0.0318546,12.3451,0.000929042,1.22482,-136.059,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,24,0.0473228,1.6281e-06,6.07316,0.000933857,0.105054,-146.15,5,0,0.100767,4.6275e-05,4.0007,0.00120602,0.306186,-186.399,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,25,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0694284,1.41735e-07,7.39477,0.00100193,0.176674,-155.95,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,25,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0563832,7.08546e-06,31,0.00106759,0.460216,-166.551,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,25,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,0.400167,0.15292,3,0.00141031,61020.8,-126.107,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,25,0.0509396,1.72961e-05,2.28871e+06,0.000936727,0.204983,-148.424,5,0,0.11615,1.14847e-05,3,0.000936836,0.808729,-140.678,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,26,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.103655,1.796e-06,6.72939,0.000669323,0.132254,-112.602,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,26,0.0728461,1.12453e-07,4.31885,0.00100135,0.194475,-155.049,5,0,0.187292,1.04995e-06,3.56147,0.000734678,0.327548,-123.019,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,26,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,0.068016,6.72687e-08,1.17102e+06,0.000799123,0.190745,-135.949,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,26,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,21.0654,2.67551e-08,1.00202,0.00114144,0.17078,-163.412,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,27,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,23.9425,0.0952914,1.00305,0.00182037,0.249924,-148.195,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,27,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.05318,3.49925e-08,5.40762,0.000935104,0.130136,-144.578,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,27,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0923659,1.98444e-05,4.00004,0.000935363,0.567478,-139.966,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,27,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0559319,2.83911e-09,32.4866,0.00100134,1.23721,-154.383,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,28,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,23.9425,0.0952914,1.00305,0.00182037,0.249924,-148.195,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,28,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.118811,1.2197e-09,3.71256,0.000869437,0.388349,-142.984,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,28,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0,0.0460735,3.38712e-08,5.99358e+06,0.000866551,0.248587,-135.277,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,28,0.0246952,1.68464e-09,38.5156,0.00119998,0.199647,-168.383,5,0,0.0308296,1.02397e-06,9.1848,0.00120087,0.282941,-164.921,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,29,NA
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,29,NA
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,29,0.0393525,1.51707e-08,33511.7,0.000934038,0.0868961,-151.657,5,0,0.046529,5.0629e-07,193740,0.00107104,0.174406,-165.674,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,29,NA
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,30,0.105507,0.0375715,2.99997,0.000903658,170490,-106.47,5,0,0.0402991,5.45241e-06,13339.6,0.000933586,0.0927287,-151.117,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,30,0.0393525,1.51707e-08,33511.7,0.000934038,0.0868961,-151.657,5,0,4696.98,3.41939e-12,1,0.00100685,491.595,-124.204,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,30,0.0701962,6.22173e-06,1.1369e+06,0.000801734,0.185123,-138.073,5,0,0.105507,0.0375715,2.99997,0.000903658,170490,-106.47,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,30,0.0851712,3.0227e-08,6.17054,0.00073443,0.117821,-130.264,5,0,0.0968539,1.40855e-08,5.65533,0.000734086,0.16512,-128.335,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,31,0.0851712,3.0227e-08,6.17054,0.00073443,0.117821,-130.264,5,0,0.0968539,1.40855e-08,5.65533,0.000734086,0.16512,-128.335,5,0
